id_pelicula,titulo,popularidad,promedio_votos
5,Four Rooms,0.01649345193519516,0.7142857142857143
11,Star Wars,0.07698770753803721,0.8901098901098901
12,Finding Nemo,0.046576193172478034,0.8351648351648351
13,Forrest Gump,0.08823905459460446,0.901098901098901
14,American Beauty,0.03786370527315567,0.8681318681318682
15,Citizen Kane,0.02887723976693638,0.8791208791208791
16,Dancer in the Dark,0.01950720561106139,0.8461538461538461
18,The Fifth Element,0.04440263749109572,0.8021978021978021
19,Metropolis,0.0264662368262434,0.8791208791208791
22,Pirates of the Caribbean: The Curse of the Black Pearl,0.08644906756287785,0.8241758241758242
24,Kill Bill: Vol. 1,0.04613782900144295,0.8461538461538461
25,Jarhead,0.018265173793128642,0.7252747252747253
27,9 Songs,0.03442985260004749,0.5604395604395603
28,Apocalypse Now,0.02484063635865495,0.8791208791208791
33,Unforgiven,0.019982100129682732,0.8461538461538461
35,The Simpsons Movie,0.026119198524173954,0.7582417582417583
38,Eternal Sunshine of the Spotless Mind,0.023580339366929076,0.8681318681318682
55,Amores perros,0.01088604358070467,0.8351648351648351
58,Pirates of the Caribbean: Dead Man's Chest,0.05380920199455698,0.7692307692307692
59,A History of Violence,0.020310873257959047,0.7582417582417583
62,2001: A Space Odyssey,0.04107837586074631,0.8681318681318682
63,Twelve Monkeys,0.02246616376554823,0.8131868131868132
64,Talk to Her,0.012146340572430546,0.8241758241758241
65,8 Mile,0.01528795046484867,0.7472527472527473
66,Absolute Power,0.013991123125536539,0.7032967032967034
69,Walk the Line,0.02096841951451168,0.8021978021978021
70,Million Dollar Baby,0.026429706478657146,0.8461538461538461
71,Billy Elliot,0.02221045133244443,0.8131868131868132
73,American History X,0.03316955560832161,0.901098901098901
74,War of the Worlds,0.03640249136970538,0.6813186813186812
75,Mars Attacks!,0.028548466638660067,0.6703296703296703
76,Before Sunrise,0.020639646386235364,0.8461538461538461
77,Memento,0.02821969351038375,0.8901098901098901
78,Blade Runner,0.1758388281064494,0.8681318681318682
79,Hero,0.018009461360024837,0.8021978021978021
80,Before Sunset,0.01287694752415569,0.8351648351648352
81,Nausicaä of the Valley of the Wind,0.020584850864855977,0.8461538461538461
82,Miami Vice,0.021425048859339896,0.6263736263736264
83,Open Water,0.019452410089682,0.5824175824175823
85,Raiders of the Lost Ark,0.03634769584832599,0.8461538461538461
87,Indiana Jones and the Temple of Doom,0.028858974593143252,0.7802197802197801
88,Dirty Dancing,0.02564430400555261,0.7802197802197801
